1955  3.15  1.41  1.73
1956  3.21  1.65  1.56
1957  3.10  1.60  1.51
1958  3.87  1.98  1.89
1959  4.38  2.26  2.12
1960  3.81  1.86  1.95
1961  2.94  1.49  1.45
1962  2.66  1.49  1.17
1963  2.92  1.65  1.27
1964  3.46  1.92  1.55
1965  4.25  2.23  2.02
1966  4.61  2.37  2.25
1967  4.16  2.14  2.02
1968  4.05  2.10  1.95
1969  4.03  2.20  1.83
1970  4.59  2.26  2.33
1971  4.84  2.64  2.21
1972  6.30  3.44  2.86
1973 10.98  5.82  5.16
1974 14.57  6.95  7.62
1975 14.75  7.26  7.49
1976 13.43  6.86  6.58
1977 14.80  7.59  7.21
1978 20.64  9.75 10.89
1979 29.33 13.66 15.68
1980 37.82 18.27 19.55
1981 40.38 20.89 19.48
1982 39.30 21.82 17.48
1983 40.73 22.20 18.53
1984 49.77 24.42 25.36
1985 60.25 25.92 34.33
1986 60.10 27.01 33.08
1987 68.11 34.71 33.40
1988 80.49 40.64 39.85
1989 82.58 43.44 39.14
